"Stationsname","Stationsnummer","Parameter","Zeitreihe","Parametereinheit","Gewässer","Zeitstempel","Zeitpunkt_des_Auftretens","Wert","Freigabestatus"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-04 00:00:00","2000-02-04 20:24:00",325.931,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-05 00:00:00","2000-02-05 01:43:40",325.858,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-06 00:00:00","2000-02-06 07:53:45",325.827,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-07 00:00:00","2000-02-07 12:04:15",325.756,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-08 00:00:00","2000-02-08 23:54:10",325.927,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-09 00:00:00","2000-02-09 09:23:00",326.417,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-10 00:00:00","2000-02-10 19:53:45",326.042,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-11 00:00:00","2000-02-12 00:00:00",326.261,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-12 00:00:00","2000-02-12 00:12:55",326.265,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-13 00:00:00","2000-02-13 23:54:10",326.23,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-14 00:00:00","2000-02-14 05:54:10",326.259,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-15 00:00:00","2000-02-15 17:03:50",326.232,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-16 00:00:00","2000-02-16 23:34:00",326.337,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-17 00:00:00","2000-02-17 00:00:00",326.336,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-18 00:00:00","2000-02-18 21:43:10",326.275,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-19 00:00:00","2000-02-19 11:03:50",326.665,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-20 00:00:00","2000-02-20 02:03:50",326.473,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-21 00:00:00","2000-02-21 00:00:00",326.225,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-22 00:00:00","2000-02-22 02:13:55",326.176,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-23 00:00:00","2000-02-23 02:54:10",326.086,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-24 00:00:00","2000-02-24 05:34:00",325.969,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-25 00:00:00","2000-02-25 00:04:15",325.945,"Freigegeben, validierte Daten"
"Untersiggenthal, Stilli",2205,"Pegel","Tagesmaxima","m ü.M.","Aare","2000-02-26 00:00:00","2000-02-26 12:33:05",325.94,"Freigegeben, validierte Daten"
